"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jakob Junis","KCR","16","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","13619"
"Rex Brothers","CHC","57","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","9794"
"Kyle Ryan","CHC","13","2","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".194","-100","0.0","-0.5","0.2","0.0","11753"
"Tommy Nance","CHC","27","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".074","-100","0.0","-0.5","0.2","0.0","19178"
"Steven Matz","TOR","29","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".040","-100","0.0","-0.5","0.2","0.0","13361"
"Hunter Strickland","- - -","57","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".268","-100","0.0","-0.5","0.2","0.0","7836"
"Colin Rea","MIL","1","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","12317"
"Daniel Norris","- - -","56","2","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".112","-100","0.0","-0.5","0.2","0.0","13475"
"Jandel Gustave","MIL","14","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","14665"
"Chris Stratton","PIT","68","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","13761"
"Tanner Anderson","PIT","1","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".103","-100","0.0","-0.5","0.2","0.0","18029"
"Ryne Harper","WSN","34","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","12680"
"Sam Clay","WSN","58","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".068","-100","0.0","-0.5","0.2","0.0","16279"
"Jefry Rodriguez","WSN","14","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".231","-100","0.0","-0.5","0.2","0.0","17018"
"Joan Adon","WSN","1","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","22925"
"Nick Pivetta","BOS","31","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","15454"
"Sean Newcomb","ATL","32","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","16943"
"Jacob Webb","ATL","34","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","19274"
"Spencer Strider","ATL","2","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.2","0.0","27498"
"Tyler Ladendorf","CHC","1","1","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".076","-100","0.0","-0.3","0.0","0.0","3211"
"Otto Lopez","TOR","1","1","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","0.0","0.0","19608"
"Cody Wilson","WSN","1","1","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".011","-100","0.0","-0.3","0.0","0.0","24671"
"Lucas Sims","CIN","47","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".083","-100","0.0","-0.5","0.2","0.0","13470"
"Sal Romano","- - -","19","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".043","-100","0.0","-0.5","0.2","0.0","13690"
"Carson Fulmer","CIN","20","2","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".130","-100","0.0","-0.5","0.2","0.0","18311"
"Cionel Perez","CIN","25","2","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".079","-100","0.0","-0.5","0.2","0.0","19614"
"Griffin Canning","LAA","16","1","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000","","-100","0.0","-0.3","0.0","0.0","19867"
"JT Brubaker","PIT","25","43","0","0","3","0","9.3%","34.9%",".000",".130",".079",".167",".079",".129",".163","-25","0.0","-6.9","5.2","0.0","17578"
"Brian Miller","MIA","5","11","0","1","0","0","0.0%","27.3%",".000",".375",".273",".273",".273",".240",".230","49","0.1","-0.6","0.0","0.0","20047"
"Peter Lambert","COL","2","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".057","-100","0.0","-0.6","0.2","0.0","17969"
"Edward Olivares","KCR","39","111","5","14","12","2","4.5%","17.1%",".168",".244",".238",".291",".406",".301",".297","86","-0.1","-2.0","-2.1","0.0","19698"
"Luke Weaver","ARI","13","22","0","1","1","0","4.5%","54.5%",".000",".286",".105",".150",".105",".122",".122","-31","0.0","-3.7","2.7","0.0","16918"
"Dillon Thomas","SEA","4","9","0","2","2","0","0.0%","77.8%",".000",".500",".111",".111",".111",".098",".101","-43","0.5","-1.1","0.5","0.0","12719"
"Trevor Cahill","PIT","9","9","0","0","0","0","0.0%","44.4%",".000",".200",".111",".111",".111",".098",".099","-46","0.0","-1.7","1.1","0.0","6249"
"Kevin Padlo","- - -","10","15","0","1","0","0","13.3%","60.0%",".077",".250",".077",".200",".154",".175",".171","10","0.1","-1.6","0.8","0.0","16593"
"Michael Wacha","TBR","30","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","14078"
"Chris Flexen","SEA","31","3","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".104","-100","0.0","-0.8","0.4","0.0","13896"
"Michael Pineda","MIN","22","3","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".069","-100","0.0","-0.8","0.4","0.0","5372"
"Griffin Jax","MIN","18","3","0","0","0","0","0.0%","66.7%",".000",".000",".000",".000",".000",".000",".007","-100","0.0","-0.8","0.4","0.0","20253"
"Tarik Skubal","DET","31","3","0","0","0","0","0.0%","66.7%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","22267"
"Taijuan Walker","NYM","31","51","0","0","1","0","2.0%","56.9%",".000",".278",".106",".143",".106",".119",".138","-26","0.0","-8.2","6.2","0.0","11836"
"Domingo German","NYY","22","3","0","0","0","0","0.0%","66.7%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","17149"
"Nick Ramirez","SDP","13","3","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".371","-100","0.0","-0.8","0.4","0.0","12575"
"Miguel Diaz","SDP","25","3","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".124","-100","0.0","-0.8","0.4","0.0","18815"
"Carlos Rodon","CHW","24","3","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".138","-100","0.0","-0.8","0.4","0.0","16137"
"Shawn Morimando","MIA","4","3","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".043","-100","0.0","-0.8","0.4","0.0","13606"
"Jaime Barria","LAA","13","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","18356"
"Joe Kelly","LAD","48","3","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".219","-100","0.0","-0.8","0.4","0.0","9761"
"Jimmy Nelson","LAD","28","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","10547"
"Evan Phillips","- - -","8","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","17734"
"Miguel Yajure","PIT","4","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","21111"
"Taylor Motter","- - -","16","29","0","5","1","0","10.3%","27.6%",".115",".278",".192",".276",".308",".259",".236","50","0.1","-1.8","0.5","0.0","12399"
"Martin Perez","BOS","36","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","6902"
"Jesse Chavez","ATL","30","3","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.8","0.4","0.0","5448"
"Ender Inciarte","ATL","52","89","2","11","10","1","7.9%","24.7%",".101",".268",".215",".276",".316",".262",".229","59","0.5","-4.1","0.8","0.0","4922"
"Jordan Holloway","MIA","13","10","0","0","0","0","0.0%","60.0%",".000",".250",".100",".100",".100",".088",".109","-49","0.0","-1.9","1.2","0.0","20631"
"Abraham Almonte","ATL","64","175","5","20","19","1","14.9%","21.7%",".182",".255",".216",".331",".399",".321",".317","97","-1.4","-1.9","-4.3","0.0","5486"
"Rich Hill","- - -","32","26","0","0","0","0","0.0%","38.5%",".000",".214",".125",".125",".125",".110",".086","-33","0.0","-4.4","3.1","0.0","4806"
"Jeff Hoffman","CIN","32","16","0","1","1","0","0.0%","18.8%",".000",".167",".133",".133",".133",".117",".228","-39","0.0","-2.8","1.9","0.0","17432"
"Willi Castro","DET","125","450","9","56","38","9","5.1%","24.2%",".131",".275",".220",".273",".351",".271",".291","71","2.0","-14.2","-1.5","0.0","17338"
"Yency Almonte","COL","48","3","0","0","0","0","0.0%","66.7%",".000",".000",".000",".000",".000",".000",".021","-100","0.0","-0.9","0.4","0.0","15068"
"Chase De Jong","PIT","10","15","0","1","0","0","0.0%","33.3%",".083",".143",".083",".083",".167",".103",".123","-42","0.0","-2.7","1.8","0.0","15036"
"Ryan Lavarnway","CLE","9","30","0","2","0","0","3.3%","33.3%",".107",".389",".250",".276",".357",".274",".272","71","-0.7","-1.8","0.4","0.0","8879"
"Cody Poteet","MIA","8","11","0","1","1","0","0.0%","27.3%",".000",".143",".100",".100",".100",".088",".132","-49","0.0","-2.1","1.3","0.0","18769"
"Frankie Montas","OAK","32","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".026","-100","0.0","-1.0","0.5","0.0","14309"
"Ryan Yarbrough","TBR","30","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".160","-100","0.0","-1.0","0.5","0.0","16502"
"Sammy Long","SFG","12","11","0","0","0","0","0.0%","36.4%",".000",".167",".100",".100",".100",".088",".204","-50","0.0","-2.1","1.3","0.0","25379"
"Marco Gonzales","SEA","25","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".191","-100","0.0","-1.0","0.5","0.0","15467"
"Jake Lamb","- - -","55","170","7","25","19","0","12.9%","30.0%",".174",".239",".194",".306",".368",".298",".316","86","-0.2","-3.1","-3.1","0.0","13329"
"Matt Thaiss","LAA","3","8","0","1","0","0","12.5%","12.5%",".000",".167",".143",".250",".143",".196",".296","17","0.0","-0.8","0.1","0.0","19318"
"Jordan Montgomery","NYY","30","4","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.0","0.5","0.0","16511"
"Lance McCullers Jr.","HOU","30","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".016","-100","0.0","-1.0","0.5","0.0","14120"
"Framber Valdez","HOU","22","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".058","-100","0.0","-1.0","0.5","0.0","17295"
"Joseph Odom","TBR","2","2","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".098","-100","0.0","-0.5","0.0","0.0","15535"
"Robert Stock","- - -","3","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".289","-100","0.0","-1.0","0.5","0.0","6576"
"Jose Berrios","- - -","32","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".063","-100","0.0","-1.1","0.5","0.0","14168"
"David Hess","- - -","15","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".016","-100","0.0","-1.1","0.5","0.0","16130"
"Bruce Zimmermann","BAL","14","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".074","-100","0.0","-1.1","0.5","0.0","20370"
"Scott Kazmir","SFG","5","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".014","-100","0.0","-1.1","0.5","0.0","4897"
"Dustin May","LAD","5","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.1","0.5","0.0","19716"
"Andre Jackson","LAD","3","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".017","-100","0.0","-1.1","0.5","0.0","21298"
"Tyler Payne","CHC","1","2","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.0","0.0","21139"
"Billy McKinney","- - -","116","300","9","32","27","2","10.7%","26.3%",".166",".235",".192",".280",".358",".277",".291","74","0.2","-9.9","-0.6","0.0","15654"
"Carlos Hernandez","KCR","24","4","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.1","0.5","0.0","22713"
"Hyun-Jin Ryu","TOR","31","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".118","-100","0.0","-1.1","0.5","0.0","14444"
"Brent Suter","MIL","61","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".056","-100","0.0","-1.1","0.5","0.0","13942"
"Duane Underwood Jr.","PIT","43","4","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.1","0.5","0.0","14677"
"Kole Calhoun","ARI","51","182","5","17","17","1","8.2%","22.5%",".139",".281",".235",".297",".373",".292",".291","80","0.0","-4.8","-1.8","0.0","11200"
"Alex Young","- - -","40","4","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.1","0.5","0.0","18333"
"Stephen Vogt","- - -","78","238","7","24","25","0","10.9%","23.5%",".138",".230",".195",".283",".333",".270",".288","65","0.3","-10.3","1.9","0.0","5000"
"Emmanuel Rivera","KCR","29","98","1","13","5","2","8.2%","21.4%",".078",".324",".256",".316",".333",".289",".317","79","0.9","-1.7","-2.1","0.0","19890"
"Rob Brantly","NYY","6","21","0","0","0","0","0.0%","19.0%",".050",".188",".150",".190",".200",".177",".202","7","-0.1","-2.5","1.3","0.0","10655"
"Yadiel Hernandez","WSN","112","289","9","33","32","3","7.6%","20.4%",".140",".318",".273",".329",".413",".320",".308","98","-1.7","-2.3","-7.9","-0.1","19334"
"Jake Woodford","STL","26","20","0","0","0","0","0.0%","45.0%",".000",".222",".111",".111",".111",".098",".145","-42","0.0","-3.6","2.4","-0.1","18674"
"Daniel Vogelbach","MIL","93","258","9","30","24","0","16.7%","22.1%",".163",".255",".219",".349",".381",".325",".337","102","-4.1","-3.5","-5.7","-0.1","14130"
"Daniel Ponce de Leon","STL","24","5","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.3","0.6","-0.1","16110"
"Garrett Stubbs","HOU","18","38","0","2","3","0","5.3%","18.4%",".059",".222",".176",".222",".235",".205",".212","26","0.2","-3.3","1.5","-0.1","18067"
"John Curtiss","- - -","44","5","0","1","0","0","0.0%","60.0%",".000",".000",".000",".000",".000",".000",".048","-100","0.0","-1.3","0.6","-0.1","16128"
"Daniel Castano","MIA","5","5","0","0","0","0","0.0%","40.0%",".000",".000",".000",".000",".000",".000",".073","-100","0.0","-1.3","0.6","-0.1","19805"
"Paul Campbell","MIA","16","5","0","0","0","0","0.0%","40.0%",".000",".000",".000",".000",".000",".000",".039","-100","0.0","-1.3","0.6","-0.1","22248"
"Kris Bubic","KCR","29","5","0","0","0","0","0.0%","20.0%",".000",".000",".000",".000",".000",".000",".068","-100","0.0","-1.3","0.6","-0.1","21455"
"Robbie Ray","TOR","32","5","0","0","0","0","0.0%","20.0%",".000",".000",".000",".000",".000",".000",".106","-100","0.0","-1.3","0.6","-0.1","11486"
"Bailey Falter","PHI","22","5","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.3","0.6","-0.1","20070"
"Braden Bishop","SEA","8","5","0","1","0","0","0.0%","40.0%",".000",".500",".250",".250",".250",".220",".153","40","0.1","-0.3","-0.5","-0.1","17806"
"Joey Lucchesi","NYM","11","11","0","1","0","0","9.1%","63.6%",".000",".000",".000",".091",".000",".063",".098","-62","0.0","-2.3","1.3","-0.1","19320"
"Jacob Nottingham","- - -","15","45","3","5","6","0","4.4%","44.4%",".250",".167",".150",".222",".400",".263",".246","66","0.1","-1.8","-0.3","-0.1","16448"
"Johneshwy Fargas","- - -","22","54","0","4","5","1","1.9%","27.8%",".135",".351",".250",".264",".385",".275",".209","74","-1.8","-3.6","1.2","-0.1","16446"
"Hunter Owen","PIT","3","5","0","0","0","0","0.0%","60.0%",".000",".000",".000",".200",".000",".144",".188","-15","0.0","-0.7","0.0","-0.1","20034"
"Troy Stokes Jr.","PIT","8","20","0","2","2","1","5.0%","25.0%",".056",".154",".111",".200",".167",".177",".232","6","0.7","-1.7","0.4","-0.1","17478"
"Luis Garcia","HOU","30","6","0","0","0","0","0.0%","16.7%",".000",".000",".000",".000",".000",".000",".155","-100","0.0","-1.6","0.7","-0.1","23735"
"Jordan Lyles","TEX","32","6","0","0","0","0","0.0%","83.3%",".000",".000",".000",".000",".000",".000",".037","-100","0.0","-1.6","0.7","-0.1","7593"
"Shane Bieber","CLE","16","6","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".017","-100","0.0","-1.6","0.7","-0.1","19427"
"Aristides Aquino","CIN","84","204","10","25","23","2","13.2%","36.8%",".218",".253",".190",".299",".408",".303",".304","81","0.0","-4.8","-2.7","-0.1","15482"
"Mike Brosseau","TBR","57","169","5","21","18","2","8.9%","31.4%",".160",".245",".187",".266",".347",".268",".276","73","-0.9","-6.6","0.2","-0.1","19683"
"Miles Mikolas","STL","9","15","0","0","0","0","6.7%","33.3%",".000",".000",".000",".111",".000",".077",".211","-55","0.0","-3.0","1.8","-0.1","9803"
"Matt Harvey","BAL","28","6","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".027","-100","0.0","-1.6","0.7","-0.1","11713"
"Mason Williams","NYM","17","37","1","3","1","0","10.8%","24.3%",".121",".261",".212",".297",".333",".270",".252","73","-0.4","-1.7","-0.2","-0.1","11859"
"Ross Stripling","TOR","24","6","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".105","-100","0.0","-1.6","0.7","-0.1","13273"
"Taylor Widener","ARI","23","18","0","1","0","0","5.6%","61.1%",".000",".200",".063",".118",".063",".092",".076","-50","0.0","-3.5","2.2","-0.1","19266"
"Sean Nolin","WSN","10","6","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".042","-100","0.0","-1.6","0.7","-0.1","11341"
"Eduardo Rodriguez","BOS","32","6","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".030","-100","0.0","-1.6","0.7","-0.1","13164"
"Tucker Davidson","ATL","4","6","0","0","0","0","0.0%","100.0%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-1.6","0.7","-0.1","19871"
"Yohel Pozo","TEX","21","77","1","8","9","0","3.9%","13.0%",".095",".317",".284",".312",".378",".300",".300","89","-0.5","-1.5","-1.8","-0.1","18848"
"Dexter Fowler","LAA","7","21","0","3","1","1","4.8%","28.6%",".000",".357",".250",".286",".250",".242",".267","48","0.3","-1.0","-0.4","-0.1","4062"
"Reiver Sanmartin","CIN","2","6","0","0","0","0","0.0%","83.3%",".000",".000",".000",".000",".000",".000",".016","-100","0.0","-1.6","0.7","-0.1","19754"
"Jared Hoying","TOR","2","3","0","0","0","0","0.0%","33.3%",".000",".000",".000",".000",".000",".000",".036","-100","0.0","-0.8","0.0","-0.1","10882"
"Nick Neidert","MIA","8","12","0","0","0","0","8.3%","41.7%",".000",".000",".000",".083",".000",".058",".124","-69","0.0","-2.6","1.5","-0.1","18699"
"Mike Minor","KCR","28","7","0","0","0","0","0.0%","57.1%",".000",".000",".000",".000",".000",".000",".167","-100","0.0","-1.9","0.8","-0.1","10021"
"Brad Keller","KCR","26","7","0","0","0","0","0.0%","42.9%",".000",".000",".000",".000",".000",".000",".080","-100","0.0","-1.9","0.8","-0.1","15734"
"Sean Kazmar jr.","ATL","3","2","0","0","0","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".124","-100","-0.2","-0.7","-0.1","-0.1","7349"
"Ryan Dorow","TEX","3","7","0","0","0","0","14.3%","42.9%",".000",".000",".000",".143",".000",".099",".175","-47","0.1","-1.2","0.1","-0.1","23559"
"Cody Ponce","PIT","15","7","0","0","0","0","0.0%","57.1%",".000",".000",".000",".000",".000",".000",".041","-100","0.0","-1.9","0.8","-0.1","17920"
"Blake Snell","SDP","27","37","0","1","0","0","0.0%","45.9%",".000",".235",".118",".118",".118",".103",".126","-38","0.0","-6.5","4.5","-0.1","13543"
"Isaac Paredes","DET","23","85","1","7","5","0","11.8%","12.9%",".111",".226",".208",".306",".319",".274",".282","73","-2.4","-5.2","1.5","-0.1","20036"
"Pete Kozma","OAK","3","12","0","0","0","0","8.3%","33.3%",".000",".143",".091",".167",".091",".131",".198","-20","0.1","-1.7","0.5","-0.1","2539"
"Carlos Martinez","STL","16","25","0","1","0","0","0.0%","60.0%",".042",".222",".083",".083",".125",".088",".106","-48","0.0","-4.7","3.0","-0.1","11682"
"Touki Toussaint","ATL","11","18","0","1","0","0","11.1%","50.0%",".000",".000",".000",".118",".000",".081",".120","-58","0.0","-3.6","2.2","-0.1","16929"
"Jason Martin","TEX","58","154","6","14","17","3","5.2%","26.6%",".146",".245",".208",".248",".354",".260",".280","62","0.7","-6.5","0.4","-0.1","16429"
"Reiss Knehr","SDP","12","8","0","0","0","0","0.0%","62.5%",".000",".000",".000",".000",".000",".000",".036","-100","0.0","-2.1","1.0","-0.1","21541"
"Ronnie Dawson","HOU","3","6","0","2","0","0","16.7%","0.0%",".000",".200",".200",".333",".200",".262",".290","64","-0.6","-0.9","-0.2","-0.1","19710"
"Humberto Arteaga","WSN","1","4","0","0","1","0","0.0%","0.0%",".000",".000",".000",".000",".000",".000",".118","-100","0.0","-1.1","0.0","-0.1","13595"
"Jarrod Dyson","- - -","102","149","0","17","10","10","6.7%","22.1%",".081",".272",".207",".260",".289",".243",".251","47","0.8","-8.8","2.9","-0.1","4866"
"Brian O'Grady","SDP","32","61","2","8","9","0","13.1%","27.9%",".176",".182",".157",".267",".333",".265",".293","67","0.4","-2.2","-0.8","-0.1","16729"
"Jhoulys Chacin","COL","46","7","0","0","0","0","0.0%","28.6%",".000",".000",".000",".000",".000",".000",".160","-100","0.0","-2.0","0.8","-0.1","2608"
"Jose Devers","MIA","21","46","0","7","5","0","6.5%","23.9%",".073",".323",".244",".304",".317",".276",".284","73","0.5","-1.1","-1.3","-0.1","20540"
"Yu Darvish","SDP","30","55","0","2","1","0","0.0%","45.5%",".038",".179",".094",".111",".132",".108",".151","-35","0.0","-9.4","6.7","-0.1","13074"
"Ryan Vilade","COL","3","7","0","0","0","0","14.3%","14.3%",".000",".000",".000",".143",".000",".099",".324","-59","0.1","-1.3","0.1","-0.1","22165"
"Nick Gordon","MIN","73","216","4","19","23","10","5.6%","25.5%",".115",".310",".240",".292",".355",".283",".318","79","0.6","-4.9","-3.4","-0.1","16337"
"Jack Lopez","BOS","7","16","0","2","0","0","6.3%","37.5%",".154",".286",".154",".214",".308",".227",".154","34","0.3","-1.0","-0.5","-0.1","13663"
"Taylor Gushue","CHC","2","4","0","0","0","0","0.0%","75.0%",".000",".000",".000",".000",".000",".000",".005","-100","0.0","-1.1","0.0","-0.1","16098"
"Jaylin Davis","SFG","5","9","0","1","0","0","0.0%","11.1%",".111",".125",".111",".111",".222",".138",".128","-17","-0.2","-1.5","0.3","-0.1","19552"
"Josh Rogers","WSN","6","14","0","0","0","0","7.1%","28.6%",".000",".000",".000",".077",".000",".053",".169","-75","0.0","-3.1","1.7","-0.1","18510"
"Pablo Sandoval","ATL","69","86","4","11","11","0","12.8%","29.1%",".164",".205",".178",".302",".342",".291",".316","78","-0.8","-3.2","-0.7","-0.1","5409"
"Elieser Hernandez","MIA","11","18","0","1","0","0","0.0%","38.9%",".000",".143",".071",".071",".071",".063",".154","-65","0.0","-3.8","2.2","-0.1","16933"
"Charlie Morton","ATL","34","62","0","5","1","0","0.0%","50.0%",".018",".292",".127",".127",".145",".118",".134","-34","0.0","-10.6","7.5","-0.1","4676"
"Trey Amburgey","NYY","2","4","0","0","0","0","0.0%","50.0%",".000",".000",".000",".000",".000",".000",".028","-100","-0.2","-1.2","0.1","-0.1","18425"
"J.A. Happ","- - -","30","15","0","0","0","0","6.7%","33.3%",".000",".000",".000",".067",".000",".046",".124","-75","0.0","-3.4","1.8","-0.1","7410"
"Scott Hurst","STL","7","5","0","0","0","0","0.0%","20.0%",".000",".000",".000",".000",".000",".000",".153","-100","0.1","-1.2","0.0","-0.1","20501"
"Vladimir Gutierrez","CIN","22","42","0","3","1","0","4.8%","33.3%",".000",".158",".091",".143",".091",".115",".135","-41","0.0","-7.5","5.1","-0.1","19278"
"Travis Blankenhorn","- - -","24","24","1","4","4","0","4.2%","33.3%",".217",".214",".174",".208",".391",".253",".336","61","0.2","-1.0","-0.9","-0.1","18395"
"Aaron Sanchez","SFG","9","10","0","0","0","0","0.0%","70.0%",".000",".000",".000",".000",".000",".000",".052","-100","0.0","-2.6","1.2","-0.1","11490"
"Stuart Fairchild","ARI","12","17","0","3","2","0","5.9%","17.6%",".067",".167",".133",".235",".200",".208",".278","25","-0.2","-1.8","0.2","-0.1","20321"
"Pedro Severino","BAL","113","419","11","32","46","0","8.1%","26.0%",".135",".314",".248",".308",".383",".299",".311","87","-3.9","-10.8","-4.6","-0.1","14523"
"Merrill Kelly","ARI","27","58","0","1","1","0","6.9%","46.6%",".021",".150",".064",".137",".085",".113",".113","-37","0.0","-10.1","7.0","-0.1","11156"
"Tucupita Marcano","SDP","25","50","0","7","3","0","12.0%","18.0%",".023",".229",".182",".280",".205",".231",".293","45","-0.6","-4.1","1.2","-0.1","22871"
"Nabil Crismatt","SDP","45","11","0","0","0","0","0.0%","54.5%",".000",".000",".000",".000",".000",".000",".049","-100","0.0","-2.9","1.3","-0.1","17732"
"Mitch White","LAD","21","16","0","1","0","0","6.3%","68.8%",".000",".000",".000",".063",".000",".043",".061","-79","0.0","-3.6","1.9","-0.1","19225"
"Adrian Sampson","CHC","11","11","0","0","0","0","0.0%","63.6%",".000",".000",".000",".000",".000",".000",".000","-100","0.0","-2.9","1.3","-0.1","13339"
"Rodolfo Castro","PIT","31","93","5","9","8","0","6.5%","29.0%",".198",".222",".198",".258",".395",".281",".292","74","-0.8","-3.9","-0.5","-0.1","21987"
"Tyler Gilbert","ARI","9","11","0","0","0","0","0.0%","54.5%",".000",".000",".000",".000",".000",".000",".076","-100","0.0","-2.9","1.3","-0.1","17964"
"Adbert Alzolay","CHC","30","33","0","1","0","0","3.0%","39.4%",".032",".111",".065",".094",".097",".088",".080","-51","0.0","-6.4","4.0","-0.1","17859"
